kaz	rus	category1
дүйсенбi	понедельник	Дни недели / Апта күндерi
сейсенбi	вторник	Дни недели / Апта күндерi
сәрсенбi	среда	Дни недели / Апта күндерi
бейсенбi	четверг	Дни недели / Апта күндерi
жұма	пятница	Дни недели / Апта күндерi
сенбi	суббота	Дни недели / Апта күндерi
жексенбi	воскресенье	Дни недели / Апта күндерi
қаңтар	январь	Месяцы / Айлар
ақпан	февраль	Месяцы / Айлар
наурыз	март	Месяцы / Айлар
сәуiр	апрель	Месяцы / Айлар
мамыр	май	Месяцы / Айлар
маусым	июнь	Месяцы / Айлар
шiлде	июль	Месяцы / Айлар
тамыз	август	Месяцы / Айлар
қыркүйек	сентябрь	Месяцы / Айлар
қазан	октябрь	Месяцы / Айлар
қараша	ноябрь	Месяцы / Айлар
желтоқсан	декабрь	Месяцы / Айлар
жаз	лето	Времена года / Жыл маусымдары (жыл мезгiлдерi)
күз	осень	Времена года / Жыл маусымдары (жыл мезгiлдерi)
қыс	зима	Времена года / Жыл маусымдары (жыл мезгiлдерi)
көктем	весна	Времена года / Жыл маусымдары (жыл мезгiлдерi)
жыл	год	Время. Период
биыл	этот год	Время. Период
келер жыл	будущий год	Время. Период
өткен жыл	прошедший год	Время. Период
алдыңғы жыл	позапрошлый год	Время. Период
кiбiсе жыл	високосный год	Время. Период
маусым	сезон, пора, время, июнь	Время. Период
мезгiл	сезон, пора, время, срок	Время. Период
кез	время, пора, момент	Время. Период
ай	месяц	Время. Период
апта (жұма)	неделя	Время. Период
күн	день	Время. Период
жұмыс күнi	рабочий день	Время. Период
демалыс күнi	выходной день	Время. Период
мейрам күнi	праздничный день	Время. Период
күндiз	днём	Время. Период
күнi бойы	весь день, в течение дня	Время. Период
күн сайын	каждый день	Время. Период
түн	ночь	Время. Период
түнде	ночью	Время. Период
түн ортасы	полночь	Время. Период
таң	утро	Время. Период
таңертең	утром	Время. Период
түс	обед	Время. Период
түсте	в обед	Время. Период
кеш	вечер	Время. Период
кешке	вечером	Время. Период
бүгiн	сегодня	Время. Период
ертең	завтра	Время. Период
бүрсiгүнi	послезавтра	Время. Период
кеше	вчера	Время. Период
алдыңғы күнi / бұрнағы күнi	позавчера	Время. Период
қарсаңында	накануне	Время. Период
қазiр	сейчас	Время. Период
сосын	потом	Время. Период
онда, сонда	тогда	Время. Период
жақында	недавно, скоро	Время. Период
әлдеқашан	давно	Время. Период
тәулiк	сутки	Время. Период
сағат	час	Время. Период
жарты сағат	полчаса	Время. Период
минут	минута	Время. Период
секунд	секунда	Время. Период
ағаш	дерево	Природа / Табиғат
ай	луна	Природа / Табиғат
аспан	небо	Природа / Табиғат
ауа	воздух	Природа / Табиғат
аяз	мороз	Природа / Табиғат
боран	буря	Природа / Табиғат
бұлт	туча, облако	Природа / Табиғат
бұршақ	град	Природа / Табиғат
бұта	куст	Природа / Табиғат
бүршік	почка растения	Природа / Табиғат
гүл	цветок	Природа / Табиғат
жанартау	вулкан	Природа / Табиғат
жаңбыр	дождь	Природа / Табиғат
жапырақ	лист	Природа / Табиғат
жартас	скала, утёс	Природа / Табиғат
жауын	дождь, ливень	Природа / Табиғат
жауын-шашын	атмосферные осадки	Природа / Табиғат
жел	ветер	Природа / Табиғат
жер	земля	Природа / Табиғат
жылға	ручей, ложбинка	Природа / Табиғат
кемпірқосақ	радуга	Природа / Табиғат
көк тайғақ	гололёд	Природа / Табиғат
көл	озеро	Природа / Табиғат
көшкін	лавина	Природа / Табиғат
күн	солнце	Природа / Табиғат
қабық	кора	Природа / Табиғат
қар	снег	Природа / Табиғат
қар аралас жаңбыр	дождь со снегом	Природа / Табиғат
құйын	смерч, вихрь	Природа / Табиғат
қырау	иней	Природа / Табиғат
мұз	лёд	Природа / Табиғат
мұхит	океан	Природа / Табиғат
найзағай	молния	Природа / Табиғат
нөсер	ливень	Природа / Табиғат
от	огонь	Природа / Табиғат
өзен	река	Природа / Табиғат
сағым	дымка, мираж	Природа / Табиғат
самал	легкий ветерок	Природа / Табиғат
сарқырама	водопад	Природа / Табиғат
соқпақ	тропинка	Природа / Табиғат
су	вода	Природа / Табиғат
тамшы	капля, капель	Природа / Табиғат
тамыр	корень	Природа / Табиғат
тас	камень	Природа / Табиғат
тау	гора	Природа / Табиғат
теңіз	море	Природа / Табиғат
тұман	туман	Природа / Табиғат
шалшық	лужа	Природа / Табиғат
шөл	пустыня	Природа / Табиғат
шың	вершина	Природа / Табиғат
ақкекіре	астра	растение / өсімдік
асжапырақ	шпинат	растение / өсімдік
бақбақ	одуванчик	растение / өсімдік
бәйшешек	подснежник	растение / өсімдік
бетеге	ковыль	растение / өсімдік
ботакөз	незабудка	растение / өсімдік
брокколи	брокколи	растение / өсімдік
емен	дуб	растение / өсімдік
жалбыз	мята	растение / өсімдік
жолжелкен	подорожник	растение / өсімдік
жөке	липа	растение / өсімдік
жуа	дикий лук	растение / өсімдік
жусан	полынь	растение / өсімдік
итмұрын	шиповник	растение / өсімдік
көкнәр	мак	растение / өсімдік
қазтамақ	герань	растение / өсімдік
қайын	берёза	растение / өсімдік
қалампыр	гвоздика	растение / өсімдік
қарағай	сосна	растение / өсімдік
қызғалдақ	тюльпан	растение / өсімдік
раушан	роза	растение / өсімдік
сәлдегүл	пион	растение / өсімдік
тал	ива	растение / өсімдік
талшын	каштан	растение / өсімдік
терек	тополь	растение / өсімдік
түймедақ	ромашка	растение / өсімдік
үйеңкі	клён	растение / өсімдік
шегіргүл	фиалка	растение / өсімдік
шырша	ёлка	растение / өсімдік
айран	кефир	Продукты / Азық-түлік
ақуыз	белок	Продукты / Азық-түлік
аскөк	зелень	Продукты / Азық-түлік
ашытқы	дрожжи	Продукты / Азық-түлік
бадам	миндаль	Продукты / Азық-түлік
бал	мёд	Продукты / Азық-түлік
балмұздақ	мороженое	Продукты / Азық-түлік
балық	рыба	Продукты / Азық-түлік
балық сорпасы	уха	Продукты / Азық-түлік
бауырсақ	баурсак	Продукты / Азық-түлік
бәліш	беляш	Продукты / Азық-түлік
бесбармақ	бешбармак	Продукты / Азық-түлік
бидай ұны	пшеничная мука	Продукты / Азық-түлік
ботқа	каша	Продукты / Азық-түлік
бөлке нан	булка	Продукты / Азық-түлік
грек жаңғағы	грецкий орех	Продукты / Азық-түлік
дәнді	злаки	Продукты / Азық-түлік
десерт	десерт	Продукты / Азық-түлік
джем	джем	Продукты / Азық-түлік
езбе	пюре	Продукты / Азық-түлік
ет	мясо	Продукты / Азық-түлік
жаңғақ	орех	Продукты / Азық-түлік
жарма	крупа	Продукты / Азық-түлік
жеміс-жидек	фрукты-ягоды	Продукты / Азық-түлік
жержаңғақ	арахис	Продукты / Азық-түлік
жұмыртқа	яйцо	Продукты / Азық-түлік
жүгері	кукуруза	Продукты / Азық-түлік
жылқы еті	конина	Продукты / Азық-түлік
зәйтүн майы	оливковое масло	Продукты / Азық-түлік
йогурт	йогурт	Продукты / Азық-түлік
какао	какао	Продукты / Азық-түлік
картоп езбесі	картофельное пюре	Продукты / Азық-түлік
кәмпит	конфета	Продукты / Азық-түлік
кәуап	шашлык	Продукты / Азық-түлік
кептірген өрік	курага	Продукты / Азық-түлік
кеспе	лапша	Продукты / Азық-түлік
компот	компот	Продукты / Азық-түлік
