kaz	rus	category1
ағу	течь, протекать	top-500
ағызу	пускать, сплавлять, нестись	top-500
адасу	плутать, заблуждаться	top-500
азу	истощаться, вырождаться	top-500
айғайлау	громко кричать	top-500
айдау	водить, гнать	top-500
айналдыру	вращать, крутить	top-500
айналу	вращаться, крутиться	top-100
айну	отказываться	top-500
айрылу	лишиться, расстаться	top-100
айтқызу	заставить говорить	top-500
айту	говорить	top-100
айтылу	быть сказанным	top-100
айтысу	дискутировать, спорить	top-500
айығу	выздоравливать, поправляться,  проясняться	top-500
айырылу	лишаться, терять	top-500
айыру	отделять, разлучать, лишать	top-500
ақтау	белить, оправдывать	top-500
ақылдасу	советоваться	top-500
ақыру	реветь, свирепствовать, орать	top-500
алғызу	брать	top-500
алдау	обманывать	top-500
алу	брать, покупать	top-100
алыну	быть взятым, взиматься	top-500
алысу	бороться, обмениваться	top-100
амандасу	здороваться	top-500
аңықтау	выяснять, уточнять	top-500
аңғару	догадаться, уловить суть	top-500
аңдау	вникать, понимать, примечать	top-500
аңду	выслеживать, подкарауливать	top-500
апару	уносить	top-500
араласу	смешиваться, общаться	top-100
аралау	ходить, бродить, распиливать	top-500
арналу	посвящаться, предназначаться	top-500
арнау	посвящать, предназначать	top-500
арту	возлагать, грузить, поручать	top-500
арттыру	повышать, увеличивать	top-500
асу	вешать, варить, превосходить	top-100
асығу	спешить, торопиться	top-500
асырау	содержать, кормить	top-500
асыру	претворять, воплощать	top-500
аталу	называться, упоминаться	top-500
атану	именоваться, получить звание	top-500
атау	называть, именовать	top-100
атқару	исполнять, выполнять	top-500
аттану	отправляться в путь	top-500
аттау	шагать	top-500
ату	стрелять, взмывать, ударять	top-100
атылу	быть кинутым, выпрыгнуть	top-500
аудару	переводить, опрокидывать	top-100
ауу	опрокидываться, сваливаться	top-500
ауыру	болеть	top-500
ауысу	сменяться, перемещаться	top-500
ашу	открывать, выявлять	top-100
ашулану	злиться, сердиться	top-500
ашылу	открываться, быть открытым	top-500
аяқталу	заканчиваться	top-500
аяқтау	кончать, заканчивать	top-500
аяу	жалеть, щадить	top-500
әзірлену	готовиться, подготовиться	top-500
әзірлеу	приготовлять, готовить	top-500
әкелу	приносить	top-100
әкету	забирать, уводить	top-500
әңгімелеу	рассказывать, повествовать	top-500
әперу	подавать, доставать	top-500
бағалау	ценить, оценивать	top-500
бағу	пасти, присматривать	top-500
бағыну	повиноваться, подчиняться	top-500
байқалу	обнаруживаться, выявляться	top-500
байқау	наблюдать, следить	top-100
байланысу	связываться друг с другом	top-500
байлау	завязывать, связывать	top-100
бару	идти, ехать	top-100
басқару	управлять, руководить	top-500
басталу	начинаться	top-500
бастау	начинать	top-100
бастыру	давить, молотить, печатать	top-500
басу	давить, нажимать	top-100
басылу	замолкать, прекратиться,  издаваться	top-500
батыру	топить, погружать	top-500
бату	тонуть, погружаться	top-500
баяндау	сообщать, докладывать	top-500
бейнелеу	изображать	top-500
бекіну	укрепиться, держать оборону	top-500
белгілеу	метить, обозначать	top-500
беру	давать, подавать	top-100
берілу	быть отданным, сдаваться	top-500
беттеу	взять направление, ехать	top-500
билеу	танцевать	top-500
болжау	предвидеть, прогнозировать	top-500
болу	быть, иметь	top-100
болысу	договориться, заступаться	top-500
босату	освобождать	top-500
босау	освобождаться	top-500
бөгелу	задерживаться, останавливаться	top-500
бөгеу	задерживать, препятствовать	top-500
бөлу	делить	top-500
бөліну	делиться, быть делимым	top-500
бұзу	нарушать, портить, ломать	top-500
бұзылу	портиться, повреждаться	top-500
бұйыру	велеть, приказывать	top-500
бұру	поворачивать	top-500
бұрылу	поворачиваться, завернуть	top-500
бүйту	делать так	top-500
білдіру	обозначать, сообщать	top-500
білу	знать	top-100
біліну	выявляться, обнаруживаться;	top-500
бірігу	соединяться, объединяться	top-500
біту	кончаться, завершаться	top-100
бітіру	заканчивать	top-500
дайындау	готовить, подготавливать	top-500
даму	развиваться, расти	top-500
дамыту	развивать, повышать	top-500
дәлелдеу	доказывать	top-500
демеу	поддерживать, помогать	top-500
десу	сговориться	top-500
деу	говорить, сказать	top-100
егу	сажать, сеять	top-500
елеу	замечать, обращать внимание	top-500
ену	входить, внедряться,  быть включённым	top-100
ерту	вести за собой	top-500
еру	следовать, таять	top-100
есептеу	подсчитывать	top-500
ескеру	учитывать, обратить внимание	top-500
есту	слышать	top-100
естілу	слышаться, доноситься	top-500
еткізу	принуждать к действию	top-500
ету	производить действие	top-100
жабу	закрывать	top-500
жабылу	закрываться	top-500
жабысу	липнуть, склеиваться	top-500
