itemValue	factValueQuestion	factValueAnswer	factTypeQuestion	factTypeAnswer
golden	10000-kreekly/mp3/Justin/golden.mp3	золотистый	1003	1002
golden	10000-kreekly/mp3/Kimberly/golden.mp3	золотистый	1003	1002
golden	10000-kreekly/mp3/Salli/golden.mp3	золотистый	1003	1002
gray	1000-puzzle-english/mp3/campbridge_US/gray.mp3	серый	1003	1002
gray	1000-puzzle-english/mp3/collins_UK/gray.mp3	серый	1003	1002
gray	1000-puzzle-english/mp3/freedictionary_UK/gray.mp3	серый	1003	1002
gray	1000-puzzle-english/mp3/howjsay_UK/gray.mp3	серый	1003	1002
gray	10000-kreekly/mp3/Kendra/gray.mp3	серый	1003	1002
green	1000-puzzle-english/mp3/campbridge_UK/green.mp3	зеленый	1003	1002
green	1000-puzzle-english/mp3/collins_UK/green.mp3	зеленый	1003	1002
green	1000-puzzle-english/mp3/macmillan_UK/green.mp3	зеленый	1003	1002
green	10000-kreekly/mp3/Joey/green.mp3	зеленый	1003	1002
green	10000-kreekly/mp3/Salli/green.mp3	зеленый	1003	1002
ivory	10000-kreekly/mp3/Joanna/ivory.mp3	слоновая кость	1003	1002
ivory	10000-kreekly/mp3/Kendra/ivory.mp3	слоновая кость	1003	1002
ivory	10000-kreekly/mp3/Kimberly/ivory.mp3	слоновая кость	1003	1002
ivory	10000-kreekly/mp3/Matthew/ivory.mp3	слоновая кость	1003	1002
ivory	10000-kreekly/mp3/Salli/ivory.mp3	слоновая кость	1003	1002
lemon	10000-kreekly/mp3/Joanna/lemon.mp3	лимонный	1003	1002
lemon	10000-kreekly/mp3/Kendra/lemon.mp3	лимонный	1003	1002
lemon	10000-kreekly/mp3/Matthew/lemon.mp3	лимонный	1003	1002
lemon	10000-kreekly/mp3/Salli/lemon.mp3	лимонный	1003	1002
lemon	8000-wordsteps/mp3/lemon.mp3	лимонный	1003	1002
light	1000-puzzle-english/mp3/howjsay_UK/light.mp3	светлый	1003	1002
light	1000-puzzle-english/mp3/peterBaker_UK/light.mp3	светлый	1003	1002
light	10000-kreekly/mp3/Justin/light.mp3	светлый	1003	1002
light	10000-kreekly/mp3/Salli/light.mp3	светлый	1003	1002
light	8000-wordsteps/mp3/light.mp3	светлый	1003	1002
lilac	10000-kreekly/mp3/Joey/lilac.mp3	сиреневый	1003	1002
lilac	10000-kreekly/mp3/Justin/lilac.mp3	сиреневый	1003	1002
lilac	10000-kreekly/mp3/Kimberly/lilac.mp3	сиреневый	1003	1002
lilac	10000-kreekly/mp3/Matthew/lilac.mp3	сиреневый	1003	1002
lilac	10000-kreekly/mp3/Salli/lilac.mp3	сиреневый	1003	1002
navy	10000-kreekly/mp3/Joanna/navy.mp3	темно-синий	1003	1002
navy	10000-kreekly/mp3/Justin/navy.mp3	темно-синий	1003	1002
navy	10000-kreekly/mp3/Kendra/navy.mp3	темно-синий	1003	1002
navy	10000-kreekly/mp3/Kimberly/navy.mp3	темно-синий	1003	1002
navy	10000-kreekly/mp3/Salli/navy.mp3	темно-синий	1003	1002
olive	10000-kreekly/mp3/Joanna/olive.mp3	оливковый	1003	1002
olive	10000-kreekly/mp3/Joey/olive.mp3	оливковый	1003	1002
olive	10000-kreekly/mp3/Justin/olive.mp3	оливковый	1003	1002
olive	10000-kreekly/mp3/Matthew/olive.mp3	оливковый	1003	1002
olive	8000-wordsteps/mp3/olive.mp3	оливковый	1003	1002
orange	10000-kreekly/mp3/Joey/orange.mp3	оранжевый	1003	1002
orange	10000-kreekly/mp3/Kendra/orange.mp3	оранжевый	1003	1002
orange	10000-kreekly/mp3/Kimberly/orange.mp3	оранжевый	1003	1002
orange	10000-kreekly/mp3/Matthew/orange.mp3	оранжевый	1003	1002
orange	8000-wordsteps/mp3/orange.mp3	оранжевый	1003	1002
pale	10000-kreekly/mp3/Joey/pale.mp3	бледный	1003	1002
pale	10000-kreekly/mp3/Kendra/pale.mp3	бледный	1003	1002
pale	10000-kreekly/mp3/Kimberly/pale.mp3	бледный	1003	1002
pale	10000-kreekly/mp3/Matthew/pale.mp3	бледный	1003	1002
pale	8000-wordsteps/mp3/pale.mp3	бледный	1003	1002
peach	10000-kreekly/mp3/Joey/peach.mp3	персиковый	1003	1002
peach	10000-kreekly/mp3/Justin/peach.mp3	персиковый	1003	1002
peach	10000-kreekly/mp3/Kendra/peach.mp3	персиковый	1003	1002
peach	10000-kreekly/mp3/Kimberly/peach.mp3	персиковый	1003	1002
peach	10000-kreekly/mp3/Salli/peach.mp3	персиковый	1003	1002
pearl	10000-kreekly/mp3/Joanna/pearl.mp3	жемчужный	1003	1002
pearl	10000-kreekly/mp3/Justin/pearl.mp3	жемчужный	1003	1002
pearl	10000-kreekly/mp3/Kendra/pearl.mp3	жемчужный	1003	1002
pearl	5000-studynow/mp3/pearl.mp3	жемчужный	1003	1002
pearl	8000-wordsteps/mp3/pearl.mp3	жемчужный	1003	1002
pink	10000-kreekly/mp3/Joanna/pink.mp3	розовый	1003	1002
pink	10000-kreekly/mp3/Joey/pink.mp3	розовый	1003	1002
pink	10000-kreekly/mp3/Justin/pink.mp3	розовый	1003	1002
pink	10000-kreekly/mp3/Matthew/pink.mp3	розовый	1003	1002
pink	8000-wordsteps/mp3/pink.mp3	розовый	1003	1002
plum	10000-kreekly/mp3/Joanna/plum.mp3	сливовый	1003	1002
plum	10000-kreekly/mp3/Kendra/plum.mp3	сливовый	1003	1002
plum	10000-kreekly/mp3/Matthew/plum.mp3	сливовый	1003	1002
plum	10000-kreekly/mp3/Salli/plum.mp3	сливовый	1003	1002
plum	5000-studynow/mp3/plum.mp3	сливовый	1003	1002
purple	10000-kreekly/mp3/Joanna/purple.mp3	пурпурный	1003	1002
purple	10000-kreekly/mp3/Joey/purple.mp3	пурпурный	1003	1002
purple	10000-kreekly/mp3/Justin/purple.mp3	пурпурный	1003	1002
purple	10000-kreekly/mp3/Matthew/purple.mp3	пурпурный	1003	1002
purple	10000-kreekly/mp3/Salli/purple.mp3	пурпурный	1003	1002
raspberry	10000-kreekly/mp3/Joanna/raspberry.mp3	малиновый	1003	1002
raspberry	10000-kreekly/mp3/Kendra/raspberry.mp3	малиновый	1003	1002
raspberry	10000-kreekly/mp3/Matthew/raspberry.mp3	малиновый	1003	1002
raspberry	10000-kreekly/mp3/Salli/raspberry.mp3	малиновый	1003	1002
raspberry	8000-wordsteps/mp3/raspberry.mp3	малиновый	1003	1002
red	1000-puzzle-english/mp3/SteveElliott_UK/red.mp3	красный	1003	1002
red	1000-puzzle-english/mp3/campbridge_US/red.mp3	красный	1003	1002
red	1000-puzzle-english/mp3/howjsay_UK/red.mp3	красный	1003	1002
red	10000-kreekly/mp3/Joey/red.mp3	красный	1003	1002
red	10000-kreekly/mp3/Justin/red.mp3	красный	1003	1002
salmon	10000-kreekly/mp3/Joey/salmon.mp3	лососевый	1003	1002
salmon	10000-kreekly/mp3/Kimberly/salmon.mp3	лососевый	1003	1002
salmon	10000-kreekly/mp3/Matthew/salmon.mp3	лососевый	1003	1002
salmon	10000-kreekly/mp3/Salli/salmon.mp3	лососевый	1003	1002
salmon	8000-wordsteps/mp3/salmon.mp3	лососевый	1003	1002
silver	1000-puzzle-english/mp3/collins_UK/silver.mp3	серебристый	1003	1002
silver	1000-puzzle-english/mp3/vocalware_hugh_UK/silver.mp3	серебристый	1003	1002
silver	10000-kreekly/mp3/Ivy/silver.mp3	серебристый	1003	1002
silver	10000-kreekly/mp3/Joanna/silver.mp3	серебристый	1003	1002
silver	10000-kreekly/mp3/Kimberly/silver.mp3	серебристый	1003	1002
violet	10000-kreekly/mp3/Joey/violet.mp3	фиолетовый	1003	1002
violet	10000-kreekly/mp3/Justin/violet.mp3	фиолетовый	1003	1002
violet	10000-kreekly/mp3/Kendra/violet.mp3	фиолетовый	1003	1002
violet	10000-kreekly/mp3/Kimberly/violet.mp3	фиолетовый	1003	1002
violet	10000-kreekly/mp3/Salli/violet.mp3	фиолетовый	1003	1002
white	1000-puzzle-english/mp3/SteveElliott_UK/white.mp3	белый	1003	1002
white	1000-puzzle-english/mp3/freedictionary_US/white.mp3	белый	1003	1002
white	10000-kreekly/mp3/Ivy/white.mp3	белый	1003	1002
white	10000-kreekly/mp3/Joey/white.mp3	белый	1003	1002
white	10000-kreekly/mp3/Justin/white.mp3	белый	1003	1002
yellow	1000-puzzle-english/mp3/SteveElliott_UK/yellow.mp3	желтый	1003	1002
yellow	1000-puzzle-english/mp3/campbridge_US/yellow.mp3	желтый	1003	1002
yellow	10000-kreekly/mp3/Kimberly/yellow.mp3	желтый	1003	1002
yellow	10000-kreekly/mp3/Matthew/yellow.mp3	желтый	1003	1002
yellow	10000-kreekly/mp3/Salli/yellow.mp3	желтый	1003	1002
